pentagon index	x	y	z	x_c	y_c	z_c
15	294.1580012817363	-57.217505851413364	0.0	306.1743283985664	-46.35198129208714	1
15	313.59834448528375	-30.305867762873657	0.0	306.1743283985664	-46.35198129208714	1
15	313.59834448528375	-62.398094821300624	0.0	306.1743283985664	-46.35198129208714	1
15	324.46386904460996	-46.35198129208714	0.0	306.1743283985664	-46.35198129208714	1
16	401.1217180995708	10.865524559326222	0.0	389.1053909827407	0.0	1
16	401.1217180995708	-10.865524559326222	0.0	389.1053909827407	0.0	1
16	381.6813748960233	16.046113529213482	0.0	389.1053909827407	0.0	1
16	381.6813748960233	-16.046113529213482	0.0	389.1053909827407	0.0	1
16	370.8158503366971	0.0	0.0	389.1053909827407	0.0	1
17	340.50998257382344	10.865524559326222	0.0	352.52630969065353	0.0	1
17	340.50998257382344	-10.865524559326222	0.0	352.52630969065353	0.0	1
17	359.9503257773709	16.046113529213482	0.0	352.52630969065353	0.0	1
17	359.9503257773709	-16.046113529213482	0.0	352.52630969065353	0.0	1
17	370.8158503366971	0.0	0.0	352.52630969065353	0.0	1
18	447.47369939165793	-35.48645673276092	0.0	435.45737227482783	-46.35198129208714	1
18	447.47369939165793	-57.217505851413364	0.0	435.45737227482783	-46.35198129208714	1
18	428.0333561881105	-30.305867762873657	0.0	435.45737227482783	-46.35198129208714	1
18	428.0333561881105	-62.398094821300624	0.0	435.45737227482783	-46.35198129208714	1
18	417.16783162878426	-46.35198129208714	0.0	435.45737227482783	-46.35198129208714	1
19	386.8619638659106	-35.48645673276092	0.0	398.8782909827407	-46.35198129208714	1
19	386.8619638659106	-57.217505851413364	0.0	398.8782909827407	-46.35198129208714	1
19	406.30230706945804	-30.305867762873657	0.0	398.8782909827407	-46.35198129208714	1
19	406.30230706945804	-62.398094821300624	0.0	398.8782909827407	-46.35198129208714	1
19	417.16783162878426	-46.35198129208714	0.0	398.8782909827407	-46.35198129208714	1
20	493.8256806837451	10.865524559326222	0.0	481.809353566915	0.0	1
20	493.8256806837451	-10.865524559326222	0.0	481.809353566915	0.0	1
20	474.3853374801976	16.046113529213482	0.0	481.809353566915	0.0	1
20	474.3853374801976	-16.046113529213482	0.0	481.809353566915	0.0	1
20	463.5198129208714	0.0	0.0	481.809353566915	0.0	1
21	433.2139451579977	10.865524559326222	0.0	445.2302722748278	0.0	1
21	433.2139451579977	-10.865524559326222	0.0	445.2302722748278	0.0	1
21	452.6542883615452	16.046113529213482	0.0	445.2302722748278	0.0	1
