time	coordination	charge	err	sec	mT
1060	3	-0.01838095238095238	0.008260269884300116	1060	13.25
1060	4	0.033244444444444445	0.011776730135618054	1060	13.25
1070	3	-0.01904761904761905	0.008200684837871067	1070	13.375
1070	4	0.034666666666666665	0.01169016213556178	1070	13.375
1080	3	-0.02361904761904762	0.00816908701688151	1080	13.5
1080	4	0.043555555555555556	0.011559712442400645	1080	13.5
1090	3	-0.023714285714285716	0.00810441630936725	1090	13.625
1090	4	0.04551111111111111	0.011342356534538578	1090	13.625
1100	3	-0.018571428571428572	0.008075905033132557	1100	13.75
1100	4	0.03573333333333333	0.011262984212282588	1100	13.75
1110	3	-0.01380952380952381	0.008038082834619206	1110	13.875
1110	4	0.028266666666666666	0.011103783631016401	1110	13.875
1120	3	-0.01380952380952381	0.007995086017372153	1120	14.0
1120	4	0.028266666666666666	0.011032389747102309	1120	14.0
1130	3	-0.019809523809523808	0.007958094496501424	1130	14.125
1130	4	0.035022222222222225	0.01089515889138624	1130	14.125
1140	3	-0.015333333333333332	0.007934594420466394	1140	14.25
1140	4	0.02666666666666667	0.010793801859035557	1140	14.25
1150	3	-0.02038095238095238	0.007874379229061191	1150	14.375
1150	4	0.036977777777777776	0.010643638744254388	1150	14.375
1160	3	-0.018	0.007834235710107567	1160	14.5
1160	4	0.02951111111111111	0.010532283215257027	1160	14.5
1170	3	-0.018666666666666668	0.007786545157742599	1170	14.625
1170	4	0.033244444444444445	0.010562761240914625	1170	14.625
1180	3	-0.017047619047619048	0.007812307666937358	1180	14.75
1180	4	0.032355555555555554	0.01038039359626902	1180	14.75
1190	3	-0.017619047619047618	0.0077936477000274075	1190	14.875
1190	4	0.03342222222222222	0.01018955215983123	1190	14.875
1200	3	-0.018095238095238095	0.007757431890061483	1200	15.0
1200	4	0.03395555555555556	0.010072397809832368	1200	15.0
1210	3	-0.02085714285714286	0.007734852208063926	1210	15.125
1210	4	0.036977777777777776	0.00992126021375676	1210	15.125
1220	3	-0.02219047619047619	0.007699413079244105	1220	15.25
1220	4	0.03964444444444445	0.009874037452954528	1220	15.25
1230	3	-0.024476190476190478	0.007687292606853923	1230	15.375
1230	4	0.04462222222222222	0.009840079875267062	1230	15.375
1240	3	-0.026	0.007657497531266617	1240	15.5
1240	4	0.04817777777777778	0.009663550237563791	1240	15.5
1250	3	-0.025619047619047618	0.007663479115463356	1250	15.625
1250	4	0.0496	0.009607142011319812	1250	15.625
1260	3	-0.031619047619047616	0.007605377562446247	1260	15.75
1260	4	0.06062222222222222	0.009532137853260967	1260	15.75
1270	3	-0.032952380952380955	0.007584804756239137	1270	15.875
1270	4	0.06364444444444445	0.009398470820459191	1270	15.875
1280	3	-0.034	0.007573813433278183	1280	16.0
1280	4	0.06666666666666667	0.009303645386890614	1280	16.0
1290	3	-0.03438095238095238	0.007528083033629535	1290	16.125
1290	4	0.06613333333333334	0.009151558566157172	1290	16.125
1300	3	-0.0360952380952381	0.007532519269317082	1300	16.25
1300	4	0.0680888888888889	0.009103531262978101	1300	16.25
1310	3	-0.037333333333333336	0.007492386085258086	1310	16.375
1310	4	0.07075555555555556	0.009002206708756953	1310	16.375
1320	3	-0.037333333333333336	0.0074571943182795185	1320	16.5
1320	4	0.0704	0.008850193270283163	1320	16.5
1330	3	-0.035238095238095235	0.007443069977554106	1330	16.625
1330	4	0.06346666666666667	0.008867338045958082	1330	16.625
1340	3	-0.037047619047619045	0.0074536121963901004	1340	16.75
1340	4	0.06666666666666667	0.008790059136169039	1340	16.75
1350	3	-0.040285714285714286	0.007427209386418474	1350	16.875
1350	4	0.07093333333333333	0.008732967220173485	1350	16.875
1360	3	-0.040095238095238094	0.007412588680210242	1360	17.0
1360	4	0.07164444444444444	0.008721585684761187	1360	17.0
1370	3	-0.044476190476190475	0.00741384582990373	1370	17.125
1370	4	0.08177777777777778	0.008554412712903752	1370	17.125
1380	3	-0.046952380952380954	0.007400872532916719	1380	17.25
1380	4	0.08337777777777777	0.008390745611780187	1380	17.25
1390	3	-0.040952380952380955	0.007403794469339877	1390	17.375
1390	4	0.07448888888888888	0.008379336470625897	1390	17.375
1400	3	-0.051238095238095235	0.007357721454654503	1400	17.5
1400	4	0.09386666666666667	0.00846158834361183	1400	17.5
1410	3	-0.051333333333333335	0.007368776892172488	1410	17.625
1410	4	0.09777777777777778	0.008303012105920939	1410	17.625
1420	3	-0.05047619047619047	0.007367827842846532	1420	17.75
1420	4	0.09582222222222223	0.008397764321865094	1420	17.75
1430	3	-0.05380952380952381	0.007348211431623028	1430	17.875
1430	4	0.10044444444444445	0.008225589199553757	1430	17.875
1440	3	-0.056952380952380956	0.007328540921706038	1440	18.0
1440	4	0.10844444444444444	0.008295039416828668	1440	18.0
1450	3	-0.05409523809523809	0.007346876998322241	1450	18.125
1450	4	0.10382222222222222	0.008185257148213986	1450	18.125
1460	3	-0.056	0.007344962473481039	1460	18.25
1460	4	0.10684444444444445	0.00821457043035987	1460	18.25
1470	3	-0.06142857142857143	0.0073156684335938865	1470	18.375
1470	4	0.11982222222222222	0.008040984911420109	1470	18.375
1480	3	-0.06428571428571428	0.00731325908045577	1480	18.5
1480	4	0.12373333333333333	0.008031783250407536	1480	18.5
1490	3	-0.06066666666666667	0.007308528297800529	1490	18.625
1490	4	0.11448888888888889	0.007964986103804162	1490	18.625
1500	3	-0.06257142857142857	0.007305280582018483	1500	18.75
1500	4	0.11946666666666667	0.007902686845567478	1500	18.75
1510	3	-0.05885714285714286	0.007304267222670888	1510	18.875
1510	4	0.11253333333333333	0.007809190591224325	1510	18.875
1520	3	-0.06380952380952382	0.0072786470221859354	1520	19.0
1520	4	0.12248888888888888	0.007787748586772627	1520	19.0
1530	3	-0.06561904761904762	0.007292821594454049	1530	19.125
1530	4	0.12622222222222224	0.007674065078878001	1530	19.125
1540	3	-0.060476190476190475	0.007281248021984189	1540	19.25
1540	4	0.11644444444444445	0.0076403681633568634	1540	19.25
1550	3	-0.06619047619047619	0.007252663888096007	1550	19.375
1550	4	0.12764444444444445	0.0075179920776538055	1550	19.375
1560	3	-0.06838095238095238	0.007261695910994958	1560	19.5
1560	4	0.12977777777777777	0.0075021156464310625	1560	19.5
1570	3	-0.07	0.007232171509314119	1570	19.625
1570	4	0.1344	0.007503307225762972	1570	19.625
1580	3	-0.07133333333333333	0.007230296626998191	1580	19.75
1580	4	0.1390222222222222	0.007385368443584674	1580	19.75
1590	3	-0.0759047619047619	0.007236858858089639	1590	19.875
1590	4	0.1464888888888889	0.007415275475470139	1590	19.875
1600	3	-0.0720952380952381	0.007228682027550419	1600	20.0
1600	4	0.13937777777777777	0.007272638074477308	1600	20.0
1610	3	-0.07828571428571429	0.007224359508286375	1610	20.125
1610	4	0.15004444444444445	0.007152822423534325	1610	20.125
1620	3	-0.07266666666666667	0.007249710978860474	1620	20.25
1620	4	0.14062222222222223	0.007298711508991462	1620	20.25
1630	3	-0.07495238095238095	0.007233570604559889	1630	20.375
1630	4	0.1416888888888889	0.007130373847120538	1630	20.375
1640	3	-0.07580952380952381	0.007244422884675558	1640	20.5
1640	4	0.14453333333333335	0.007191528969318412	1640	20.5
1650	3	-0.07142857142857142	0.007245290834648664	1650	20.625
1650	4	0.13564444444444446	0.007109763900791982	1650	20.625
1660	3	-0.074	0.00724406176467655	1660	20.75
1660	4	0.14257777777777778	0.007032825567962041	1660	20.75
1670	3	-0.07257142857142856	0.0072535089677265956	1670	20.875
1670	4	0.1416888888888889	0.007072512266205102	1670	20.875
1680	3	-0.07114285714285715	0.0072266214316668315	1680	21.0
1680	4	0.13848888888888888	0.0070063317022122035	1680	21.0
1690	3	-0.07238095238095238	0.007237324662712204	1690	21.125
1690	4	0.14293333333333333	0.007081453350750446	1690	21.125
1700	3	-0.07647619047619048	0.007234065012638755	1700	21.25
1700	4	0.1472	0.007019853992467526	1700	21.25
1710	3	-0.0741904761904762	0.007220138436320045	1710	21.375
1710	4	0.14044444444444446	0.007108147267099141	1710	21.375
1720	3	-0.08161904761904762	0.007202480415305	1720	21.5
1720	4	0.1584	0.007169928719035804	1720	21.5
1730	3	-0.07552380952380952	0.0072031280721084594	1730	21.625
1730	4	0.14684444444444444	0.007105542806604416	1730	21.625
1740	3	-0.07809523809523809	0.007221946128776899	1740	21.75
1740	4	0.15217777777777777	0.007091103707870159	1740	21.75
1750	3	-0.07628571428571429	0.0072178420164030485	1750	21.875
1750	4	0.14897777777777776	0.007110489991740059	1750	21.875
1760	3	-0.08	0.007209638854957552	1760	22.0
1760	4	0.15555555555555556	0.00706000441729207	1760	22.0
1770	3	-0.08476190476190476	0.0071957109852027286	1770	22.125
1770	4	0.16373333333333334	0.007021073196584512	1770	22.125
1780	3	-0.08495238095238095	0.007155151335948641	1780	22.25
1780	4	0.16302222222222224	0.0070360337785793	1780	22.25
1790	3	-0.08371428571428571	0.007189989876452241	1790	22.375
1790	4	0.16035555555555556	0.007048209269119858	1790	22.375
1800	3	-0.08419047619047619	0.007173305234209387	1800	22.5
1800	4	0.16106666666666666	0.0070377911339286085	1800	22.5
1810	3	-0.08447619047619048	0.007164288025696577	1810	22.625
1810	4	0.16462222222222223	0.007102042597253628	1810	22.625
1820	3	-0.08295238095238096	0.007165135902805837	1820	22.75
1820	4	0.16284444444444446	0.00702066001555987	1820	22.75
1830	3	-0.08152380952380953	0.007167182385599531	1830	22.875
1830	4	0.15893333333333334	0.00701511923964832	1830	22.875
1840	3	-0.0881904761904762	0.007136781677289978	1840	23.0
1840	4	0.17084444444444444	0.0072890160896910555	1840	23.0
1850	3	-0.08923809523809524	0.007150129856426679	1850	23.125
1850	4	0.17137777777777777	0.0071411351436110595	1850	23.125
1860	3	-0.08914285714285715	0.007159061122824363	1860	23.25
1860	4	0.1720888888888889	0.007104109709044479	1860	23.25
1870	3	-0.09695238095238096	0.007116087673425166	1870	23.375
1870	4	0.18666666666666668	0.007195379835489995	1870	23.375
1880	3	-0.09314285714285714	0.00711341155854262	1880	23.5
1880	4	0.18222222222222223	0.007057019109254599	1880	23.5
1890	3	-0.09038095238095238	0.007127845158487765	1890	23.625
1890	4	0.17884444444444444	0.00713813653392096	1890	23.625
1900	3	-0.09066666666666667	0.007131489158198804	1900	23.75
1900	4	0.17831111111111111	0.007154801236649124	1900	23.75
1910	3	-0.0919047619047619	0.007129462237719901	1910	23.875
1910	4	0.18453333333333333	0.007270167514174587	1910	23.875
1920	3	-0.09009523809523809	0.007138190513447164	1920	24.0
1920	4	0.1720888888888889	0.0071705374410580835	1920	24.0
1930	3	-0.09380952380952381	0.007107891593754296	1930	24.125
1930	4	0.1831111111111111	0.0072078835243278285	1930	24.125
1940	3	-0.09457142857142857	0.007131618015255489	1940	24.25
1940	4	0.1831111111111111	0.007194716006430086	1940	24.25
1950	3	-0.08961904761904763	0.007116841606048855	1950	24.375
1950	4	0.17564444444444444	0.007127480098382712	1950	24.375
1960	3	-0.09247619047619048	0.007092116203319588	1960	24.5
1960	4	0.1806222222222222	0.007200306656912025	1960	24.5
1970	3	-0.09533333333333334	0.007076228000881681	1970	24.625
1970	4	0.18666666666666668	0.007247901553232945	1970	24.625
1980	3	-0.09390476190476191	0.007101448041690494	1980	24.75
1980	4	0.18684444444444445	0.007387873686863094	1980	24.75
1990	3	-0.098	0.007089862391342359	1990	24.875
1990	4	0.19182222222222223	0.007246837209074606	1990	24.875
2000	3	-0.10142857142857142	0.007072191313128703	2000	25.0
