time	coordination	charge	err	sec	mT
580	4	-0.1585777777777778	0.017788587186021557	580	7.25
585	3	0.08186666666666667	0.011406225624706624	585	7.3125
585	4	-0.16213333333333332	0.017778627689801346	585	7.3125
590	3	0.08542222222222222	0.011404373848668941	590	7.375
590	4	-0.16977777777777778	0.017710819072892944	590	7.375
595	3	0.08773333333333333	0.011398742651476895	595	7.4375
595	4	-0.17386666666666667	0.017663505359305512	595	7.4375
600	3	0.09155555555555556	0.011396019891225944	600	7.5
600	4	-0.1816888888888889	0.01759553499888113	600	7.5
605	3	0.09555555555555556	0.011390398792677059	605	7.5625
605	4	-0.18986666666666666	0.017573474760049234	605	7.5625
610	3	0.09946666666666666	0.011385441016177654	610	7.625
610	4	-0.1968	0.01753878138697147	610	7.625
615	3	0.10053333333333334	0.0113871065132657	615	7.6875
615	4	-0.20035555555555556	0.017486466259068884	615	7.6875
620	3	0.1039111111111111	0.011387840488349291	620	7.75
620	4	-0.20728888888888888	0.017458472783556608	620	7.75
625	3	0.10657777777777777	0.011377025913964918	625	7.8125
625	4	-0.2126222222222222	0.017405619275918976	625	7.8125
630	3	0.10977777777777778	0.011363859062660166	630	7.875
630	4	-0.21937777777777778	0.017372712195973264	630	7.875
635	3	0.11413333333333334	0.011359169574194793	635	7.9375
635	4	-0.22826666666666667	0.0172657748726766	635	7.9375
640	3	0.1184	0.011352357202143963	640	8.0
640	4	-0.2369777777777778	0.0172452606870684	640	8.0
645	3	0.12097777777777778	0.011348364425349065	645	8.0625
645	4	-0.24266666666666667	0.017183130785845754	645	8.0625
650	3	0.12346666666666667	0.011342994098525799	650	8.125
650	4	-0.24657777777777778	0.017161612426482342	650	8.125
655	3	0.1272	0.01133419116906079	655	8.1875
655	4	-0.25493333333333335	0.017136928295221995	655	8.1875
660	3	0.13004444444444443	0.011330664487034167	660	8.25
660	4	-0.2606222222222222	0.017077574438894703	660	8.25
665	3	0.13146666666666668	0.01131388323934398	665	8.3125
665	4	-0.2647111111111111	0.017037696707738918	665	8.3125
670	3	0.13528888888888888	0.01131327727808061	670	8.375
670	4	-0.27182222222222224	0.016942137530327115	670	8.375
675	3	0.14151111111111112	0.01129171420772861	675	8.4375
675	4	-0.28444444444444444	0.016849772671148133	675	8.4375
680	3	0.1439111111111111	0.011281964602888227	680	8.5
680	4	-0.28924444444444447	0.01681903236478242	680	8.5
685	3	0.1486222222222222	0.01127083994636424	685	8.5625
685	4	-0.29884444444444447	0.016734365714998225	685	8.5625
690	3	0.1496888888888889	0.011277221378806185	690	8.625
690	4	-0.3022222222222222	0.01670155342299324	690	8.625
695	3	0.15395555555555557	0.011264150740795151	695	8.6875
695	4	-0.31093333333333334	0.016654152459511858	695	8.6875
700	3	0.15733333333333333	0.011263479232157038	700	8.75
700	4	-0.3184	0.016576903790978148	700	8.75
705	3	0.16302222222222224	0.011250756465375357	705	8.8125
705	4	-0.32924444444444445	0.016551378561931715	705	8.8125
710	3	0.1672	0.011251542953717709	710	8.875
