p	x_c	y_c
338	435.45737227482783	-787.9836819654813
339	398.8782909827407	-787.9836819654813
340	481.809353566915	-741.6317006733943
341	445.2302722748278	-741.6317006733943
342	528.1613348590022	-787.9836819654813
343	491.5822535669149	-787.9836819654813
344	574.5133161510893	-741.6317006733943
345	537.9342348590021	-741.6317006733943
346	620.8652974431762	-787.9836819654813
347	584.2862161510892	-787.9836819654813
348	667.2172787352633	-741.6317006733943
349	630.6381974431763	-741.6317006733943
350	713.5692600273504	-787.9836819654813
351	676.9901787352635	-787.9836819654813
352	759.9212413194377	-741.6317006733943
353	723.3421600273508	-741.6317006733943
354	806.2732226115248	-787.9836819654813
355	769.6941413194377	-787.9836819654813
356	852.625203903612	-741.6317006733943
357	816.046122611525	-741.6317006733943
358	898.9771851956991	-787.9836819654813
359	862.3981039036121	-787.9836819654813
360	18.28954064604357	-834.3356632575685
361	-18.28954064604357	-834.3356632575685
362	64.64152193813071	-880.6876445496556
363	28.062440646043573	-880.6876445496556
364	110.99350323021784	-834.3356632575685
365	74.41442193813072	-834.3356632575685
366	157.345484522305	-880.6876445496556
367	120.76640323021783	-880.6876445496556
368	203.69746581439213	-834.3356632575685
369	167.11838452230498	-834.3356632575685
370	250.04944710647925	-880.6876445496556
371	213.4703658143921	-880.6876445496556
372	296.40142839856634	-834.3356632575685
373	259.82234710647924	-834.3356632575685
374	342.7534096906536	-880.6876445496556
375	306.1743283985664	-880.6876445496556
376	389.1053909827407	-834.3356632575685
377	352.52630969065353	-834.3356632575685
378	435.45737227482783	-880.6876445496556
379	398.8782909827407	-880.6876445496556
380	481.809353566915	-834.3356632575685
381	445.2302722748278	-834.3356632575685
382	528.1613348590022	-880.6876445496556
383	491.5822535669149	-880.6876445496556
384	574.5133161510893	-834.3356632575685
385	537.9342348590021	-834.3356632575685
386	620.8652974431762	-880.6876445496556
387	584.2862161510892	-880.6876445496556
388	667.2172787352633	-834.3356632575685
389	630.6381974431763	-834.3356632575685
390	713.5692600273504	-880.6876445496556
391	676.9901787352635	-880.6876445496556
392	759.9212413194377	-834.3356632575685
393	723.3421600273508	-834.3356632575685
394	806.2732226115248	-880.6876445496556
395	769.6941413194377	-880.6876445496556
396	852.625203903612	-834.3356632575685
397	816.046122611525	-834.3356632575685
398	898.9771851956991	-880.6876445496556
399	862.3981039036121	-880.6876445496556
400	46.351981292087146	18.28954064604357
401	46.351981292087146	-18.28954064604357
402	0.0	-28.062440646043573
403	0.0	-64.64152193813071
404	139.0559438762614	18.28954064604357
405	139.0559438762614	-18.28954064604357
406	92.70396258417429	-28.062440646043573
407	92.70396258417429	-64.64152193813071
408	231.75990646043567	18.28954064604357
409	231.75990646043567	-18.28954064604357
410	185.40792516834858	-28.062440646043573
411	185.40792516834858	-64.64152193813071
412	324.46386904460996	18.28954064604357
413	324.46386904460996	-18.28954064604357
414	278.1118877525228	-28.062440646043573
415	278.1118877525228	-64.64152193813071
416	417.16783162878426	18.28954064604357
417	417.16783162878426	-18.28954064604357
418	370.81585033669717	-28.062440646043573
419	370.81585033669717	-64.64152193813071
420	509.87179421295855	18.28954064604357
421	509.87179421295855	-18.28954064604357
422	463.51981292087135	-28.062440646043573
423	463.51981292087135	-64.64152193813071
424	602.5757567971327	18.28954064604357
425	602.5757567971327	-18.28954064604357
426	556.2237755050456	-28.062440646043573
427	556.2237755050456	-64.64152193813071
428	695.279719381307	18.28954064604357
429	695.279719381307	-18.28954064604357
430	648.9277380892199	-28.062440646043573
431	648.9277380892199	-64.64152193813071
432	787.9836819654813	18.28954064604357
433	787.9836819654813	-18.28954064604357
434	741.6317006733943	-28.062440646043573
435	741.6317006733943	-64.64152193813071
436	880.6876445496556	18.28954064604357
437	880.6876445496556	-18.28954064604357
438	834.3356632575685	-28.062440646043573
439	834.3356632575685	-64.64152193813071
440	46.351981292087146	-74.41442193813072
441	46.351981292087146	-110.99350323021784
442	0.0	-120.76640323021783
443	0.0	-157.345484522305
444	139.0559438762614	-74.41442193813072
445	139.0559438762614	-110.99350323021784
446	92.70396258417429	-120.76640323021783
447	92.70396258417429	-157.345484522305
448	231.75990646043567	-74.41442193813072
449	231.75990646043567	-110.99350323021784
450	185.40792516834858	-120.76640323021783
451	185.40792516834858	-157.345484522305
452	324.46386904460996	-74.41442193813072
453	324.46386904460996	-110.99350323021784
454	278.1118877525228	-120.76640323021783
455	278.1118877525228	-157.345484522305
456	417.16783162878426	-74.41442193813072
457	417.16783162878426	-110.99350323021784
458	370.81585033669717	-120.76640323021783
459	370.81585033669717	-157.345484522305
460	509.87179421295855	-74.41442193813072
461	509.87179421295855	-110.99350323021784
462	463.51981292087135	-120.76640323021783
463	463.51981292087135	-157.345484522305
464	602.5757567971327	-74.41442193813072
465	602.5757567971327	-110.99350323021784
466	556.2237755050456	-120.76640323021783
467	556.2237755050456	-157.345484522305
468	695.279719381307	-74.41442193813072
469	695.279719381307	-110.99350323021784
470	648.9277380892199	-120.76640323021783
471	648.9277380892199	-157.345484522305
472	787.9836819654813	-74.41442193813072
473	787.9836819654813	-110.99350323021784
474	741.6317006733943	-120.76640323021783
475	741.6317006733943	-157.345484522305
476	880.6876445496556	-74.41442193813072
477	880.6876445496556	-110.99350323021784
478	834.3356632575685	-120.76640323021783
479	834.3356632575685	-157.345484522305
480	46.351981292087146	-167.11838452230498
481	46.351981292087146	-203.69746581439213
482	0.0	-213.4703658143921
483	0.0	-250.04944710647925
484	139.0559438762614	-167.11838452230498
485	139.0559438762614	-203.69746581439213
486	92.70396258417429	-213.4703658143921
487	92.70396258417429	-250.04944710647925
488	231.75990646043567	-167.11838452230498
489	231.75990646043567	-203.69746581439213
490	185.40792516834858	-213.4703658143921
491	185.40792516834858	-250.04944710647925
492	324.46386904460996	-167.11838452230498
493	324.46386904460996	-203.69746581439213
494	278.1118877525228	-213.4703658143921
495	278.1118877525228	-250.04944710647925
496	417.16783162878426	-167.11838452230498
497	417.16783162878426	-203.69746581439213
498	370.81585033669717	-213.4703658143921
499	370.81585033669717	-250.04944710647925
500	509.87179421295855	-167.11838452230498
501	509.87179421295855	-203.69746581439213
502	463.51981292087135	-213.4703658143921
503	463.51981292087135	-250.04944710647925
504	602.5757567971327	-167.11838452230498
505	602.5757567971327	-203.69746581439213
506	556.2237755050456	-213.4703658143921
507	556.2237755050456	-250.04944710647925
508	695.279719381307	-167.11838452230498
509	695.279719381307	-203.69746581439213
510	648.9277380892199	-213.4703658143921
511	648.9277380892199	-250.04944710647925
512	787.9836819654813	-167.11838452230498
513	787.9836819654813	-203.69746581439213
514	741.6317006733943	-213.4703658143921
515	741.6317006733943	-250.04944710647925
516	880.6876445496556	-167.11838452230498
517	880.6876445496556	-203.69746581439213
518	834.3356632575685	-213.4703658143921
519	834.3356632575685	-250.04944710647925
520	46.351981292087146	-259.82234710647924
521	46.351981292087146	-296.40142839856634
522	0.0	-306.1743283985664
523	0.0	-342.7534096906536
524	139.0559438762614	-259.82234710647924
525	139.0559438762614	-296.40142839856634
526	92.70396258417429	-306.1743283985664
527	92.70396258417429	-342.7534096906536
528	231.75990646043567	-259.82234710647924
529	231.75990646043567	-296.40142839856634
530	185.40792516834858	-306.1743283985664
531	185.40792516834858	-342.7534096906536
532	324.46386904460996	-259.82234710647924
533	324.46386904460996	-296.40142839856634
534	278.1118877525228	-306.1743283985664
535	278.1118877525228	-342.7534096906536
536	417.16783162878426	-259.82234710647924
537	417.16783162878426	-296.40142839856634
538	370.81585033669717	-306.1743283985664
539	370.81585033669717	-342.7534096906536
540	509.87179421295855	-259.82234710647924
541	509.87179421295855	-296.40142839856634
542	463.51981292087135	-306.1743283985664
543	463.51981292087135	-342.7534096906536
544	602.5757567971327	-259.82234710647924
545	602.5757567971327	-296.40142839856634
546	556.2237755050456	-306.1743283985664
547	556.2237755050456	-342.7534096906536
548	695.279719381307	-259.82234710647924
549	695.279719381307	-296.40142839856634
550	648.9277380892199	-306.1743283985664
551	648.9277380892199	-342.7534096906536
552	787.9836819654813	-259.82234710647924
553	787.9836819654813	-296.40142839856634
554	741.6317006733943	-306.1743283985664
555	741.6317006733943	-342.7534096906536
556	880.6876445496556	-259.82234710647924
557	880.6876445496556	-296.40142839856634
558	834.3356632575685	-306.1743283985664
559	834.3356632575685	-342.7534096906536
560	46.351981292087146	-352.52630969065353
561	46.351981292087146	-389.1053909827407
