Exp	frame	abs_C	err	time(s)	field(mT)	time	mT
16.0	150000	0.4971314279694834	0.030515708601482918	1500.0	18.75	1500.0	15.0
16.0	145000	0.4940315789469421	0.030445226487569067	1450.0	18.125	1450.0	14.5
16.0	140000	0.4921513923246701	0.030469722485324136	1400.0	17.5	1400.0	14.0
16.0	135000	0.4892526315785027	0.030305241612328736	1350.0	16.875	1350.0	13.5
16.0	125000	0.4810842105258392	0.030178859565656108	1250.0	15.625	1250.0	12.5
16.0	185000	0.5133487735548014	0.03073034729639065	1850.0	23.125	1850.0	18.5
21.0	0	0.3755368421042868	0.024415649483691584	0.0	0.0	0.0	0.0
21.0	180000	0.5770712706598767	0.03336690804024345	1800.0	22.5	1800.0	18.0
21.0	135000	0.5282383283327472	0.032100774604686216	1350.0	16.875	1350.0	13.5
21.0	140000	0.5360248447202118	0.03219269477355837	1400.0	17.5	1400.0	14.0
21.0	145000	0.5413894736839221	0.032453544532878416	1450.0	18.125	1450.0	14.5
21.0	150000	0.5474315789471011	0.03263567076490238	1500.0	18.75	1500.0	15.0
21.0	155000	0.5532631578944781	0.032832176641446234	1550.0	19.375	1550.0	15.5
21.0	160000	0.5585473684208071	0.032984867243081764	1600.0	20.0	1600.0	16.0
21.0	165000	0.5635626677894183	0.03314528344383007	1650.0	20.625	1650.0	16.5
21.0	170000	0.569451023737885	0.03324416009924056	1700.0	21.25	1700.0	17.0
21.0	175000	0.5728062325628269	0.03336162883509662	1750.0	21.875	1750.0	17.5
21.0	185000	0.5802911062562063	0.033554875125088236	1850.0	23.125	1850.0	18.5
21.0	130000	0.5209221537972233	0.03175452195173845	1300.0	16.25	1300.0	13.0
21.0	190000	0.5839124026109015	0.033425027619176886	1900.0	23.75	1900.0	19.0
21.0	200000	0.5884291429773072	0.03347454766972817	2000.0	25.0	2000.0	20.0
21.0	205000	0.5895994526026145	0.03342476032619362	2050.0	25.0	2050.0	20.5
21.0	210000	0.5923878711306622	0.03325493791139721	2100.0	25.0	2100.0	21.0
21.0	215000	0.5921886514368916	0.033336831047712914	2150.0	25.0	2150.0	21.5
21.0	220000	0.5948515476941544	0.033226726145410036	2200.0	25.0	2200.0	22.0
21.0	225000	0.5957148873446071	0.03322161391274736	2250.0	25.0	2250.0	22.5
