frame	Chi	count	err	time(s)	field(mT)
120000	0.6	0.18073684210526314	0.0037137834125060124	1200.0	15.0
120000	1.0	0.08831578947368422	0.002264456450577923	1200.0	15.0
125000	-1.0	0.09168421052631578	0.002893076371727014	1250.0	15.625
125000	-0.6	0.17963157894736842	0.0036596156188146134	1250.0	15.625
125000	-0.2	0.25463157894736843	0.004516945062320967	1250.0	15.625
125000	0.2	0.2550263157894737	0.005130366983488381	1250.0	15.625
125000	0.6	0.18013157894736842	0.004251819867551349	1250.0	15.625
125000	1.0	0.09152631578947369	0.002438050357801538	1250.0	15.625
130000	-1.0	0.09276315789473684	0.0027896282104616214	1300.0	16.25
130000	-0.6	0.183	0.0038603366571828327	1300.0	16.25
130000	-0.2	0.25076315789473685	0.004909643459893317	1300.0	16.25
130000	0.2	0.2506052631578947	0.004360100068816846	1300.0	16.25
130000	0.6	0.18144736842105263	0.004159405359923442	1300.0	16.25
130000	1.0	0.09405263157894736	0.0025583804730793342	1300.0	16.25
135000	-1.0	0.09413157894736841	0.0027743367547471624	1350.0	16.875
135000	-0.6	0.18447368421052632	0.003522618578984205	1350.0	16.875
135000	-0.2	0.24747368421052632	0.004434528844627262	1350.0	16.875
135000	0.2	0.24868421052631579	0.004621920160108761	1350.0	16.875
135000	0.6	0.18197368421052632	0.004299747832217246	1350.0	16.875
135000	1.0	0.09589473684210525	0.002628408401544461	1350.0	16.875
140000	-1.0	0.09639473684210527	0.0031540994916725955	1400.0	17.5
140000	-0.6	0.18278947368421053	0.004589577399078402	1400.0	17.5
140000	-0.2	0.24757894736842104	0.0037980717590644893	1400.0	17.5
140000	0.2	0.24618421052631578	0.004160254738196526	1400.0	17.5
140000	0.6	0.18144736842105263	0.0033805856641143744	1400.0	17.5
140000	1.0	0.09807894736842104	0.00239129957162334	1400.0	17.5
145000	-1.0	0.09760526315789474	0.0031111038482713694	1450.0	18.125
145000	-0.6	0.18302631578947368	0.004047468707683857	1450.0	18.125
145000	-0.2	0.24528947368421053	0.004638014582119091	1450.0	18.125
145000	0.2	0.2448421052631579	0.0038713043756737507	1450.0	18.125
145000	0.6	0.18423684210526317	0.0030127890852577597	1450.0	18.125
145000	1.0	0.09763157894736842	0.0023776523760664493	1450.0	18.125
150000	-1.0	0.09923684210526316	0.0029471022781480346	1500.0	18.75
150000	-0.6	0.18444736842105264	0.004207915745489378	1500.0	18.75
150000	-0.2	0.24063157894736842	0.004323831285787943	1500.0	18.75
150000	0.2	0.24547368421052632	0.0037839050862034517	1500.0	18.75
150000	0.6	0.18328947368421053	0.0043811511356416	1500.0	18.75
150000	1.0	0.0995	0.002739322287754716	1500.0	18.75
155000	-1.0	0.10136842105263158	0.002886375973694081	1550.0	19.375
155000	-0.6	0.18278947368421053	0.004226473559541729	1550.0	19.375
155000	-0.2	0.24173684210526317	0.00440430822235676	1550.0	19.375
155000	0.2	0.24257894736842103	0.004253905170288419	1550.0	19.375
155000	0.6	0.1820263157894737	0.0033924379596508053	1550.0	19.375
155000	1.0	0.10192105263157895	0.0020680279934723535	1550.0	19.375
160000	-1.0	0.10281578947368421	0.003139727999401652	1600.0	20.0
160000	-0.6	0.1843684210526316	0.004792046145241769	1600.0	20.0
160000	-0.2	0.2398684210526316	0.005041835550215452	1600.0	20.0
160000	0.2	0.23878947368421052	0.004120993575470609	1600.0	20.0
160000	0.6	0.18263157894736842	0.0036593838973555995	1600.0	20.0
160000	1.0	0.10410526315789474	0.0022877414833117594	1600.0	20.0
165000	-1.0	0.10463157894736842	0.002993671127760748	1650.0	20.625
165000	-0.6	0.1857105263157895	0.0047515956539260756	1650.0	20.625
165000	-0.2	0.23639473684210524	0.004991378456434525	1650.0	20.625
165000	0.2	0.23444736842105263	0.004427232459032534	1650.0	20.625
165000	0.6	0.18689473684210528	0.004349349488672643	1650.0	20.625
165000	1.0	0.10444736842105262	0.002725097185862419	1650.0	20.625
170000	-1.0	0.10607894736842106	0.0027457638807485904	1700.0	21.25
170000	-0.6	0.18542105263157896	0.004043617131328952	1700.0	21.25
170000	-0.2	0.23536842105263156	0.004530535339934071	1700.0	21.25
170000	0.2	0.2319736842105263	0.004637374620578633	1700.0	21.25
170000	0.6	0.1886842105263158	0.004688709988554996	1700.0	21.25
170000	1.0	0.10494736842105264	0.003125686085576802	1700.0	21.25
175000	-1.0	0.10557894736842105	0.0025725935012414773	1750.0	21.875
175000	-0.6	0.1886842105263158	0.004225771273642585	1750.0	21.875
175000	-0.2	0.23442105263157895	0.00451547423905789	1750.0	21.875
175000	0.2	0.22849999999999998	0.004115305201153075	1750.0	21.875
175000	0.6	0.1882105263157895	0.0031136808117057714	1750.0	21.875
175000	1.0	0.10713157894736842	0.0021117816645804185	1750.0	21.875
180000	-1.0	0.10663157894736842	0.0028295062271158048	1800.0	22.5
