frame	type	coordination	number	fraction	err	mT
1200	Q = +4	4	1.5714285714285714	0.17460317460317462	0.04761904761904762	2.377199996
1200	Q = -1	3	12.67741935483871	0.3961693548387097	0.01679973112902796	2.377199996
1200	Q = -2	4	2.466666666666667	0.274074074074074	0.028055234161422183	2.377199996
1200	Q = -3	3	2.8666666666666667	0.08958333333333333	0.010880478758200982	2.377199996
1200	Q = -4	4	1.1666666666666667	0.12962962962962965	0.012485182638208187	2.377199996
1200	Q = 0	4	3.7096774193548385	0.4121863799283153	0.02831314359588746	2.377199996
1300	Q = +1	3	13.35483870967742	0.4173387096774194	0.015098549689960333	2.528895234
1300	Q = +2	4	2.4444444444444446	0.27160493827160487	0.02396852699738644	2.528895234
1300	Q = +3	3	2.9310344827586206	0.09159482758620689	0.007897632597525036	2.528895234
1300	Q = +4	4	1.5	0.16666666666666669	0.041996052556580794	2.528895234
1300	Q = -1	3	13.32258064516129	0.4163306451612903	0.016292019234545905	2.528895234
1300	Q = -2	4	2.5172413793103448	0.2796934865900383	0.026800368193421114	2.528895234
1300	Q = -3	3	2.7586206896551726	0.08620689655172414	0.010247191650642007	2.528895234
1300	Q = -4	4	1.2222222222222223	0.1358024691358025	0.01633179821644809	2.528895234
1300	Q = 0	4	3.774193548387097	0.4193548387096774	0.028085359174422557	2.528895234
1400	Q = +1	3	13.419354838709678	0.41935483870967744	0.014329652757282506	2.680590472
1400	Q = +2	4	2.3	0.2555555555555555	0.021409135231902555	2.680590472
1400	Q = +3	3	2.793103448275862	0.08728448275862069	0.0074989913539523405	2.680590472
1400	Q = +4	4	1.5714285714285714	0.17460317460317462	0.04761904761904762	2.680590472
1400	Q = -1	3	13.419354838709678	0.41935483870967744	0.01518356219888864	2.680590472
1400	Q = -2	4	2.3333333333333335	0.25925925925925924	0.022810435631534804	2.680590472
1400	Q = -3	3	2.7241379310344827	0.08512931034482758	0.009029522091164961	2.680590472
1400	Q = -4	4	1.2222222222222223	0.1358024691358025	0.01633179821644809	2.680590472
1400	Q = 0	4	3.806451612903226	0.4229390681003585	0.02023317861889276	2.680590472
1500	Q = +1	3	13.32258064516129	0.4163306451612903	0.01576796801969095	2.8322857100000003
1500	Q = +2	4	2.5	0.27777777777777773	0.02458088159570785	2.8322857100000003
1500	Q = +3	3	2.689655172413793	0.08405172413793104	0.007923844526866494	2.8322857100000003
1500	Q = +4	4	1.4285714285714286	0.15873015873015875	0.04761904761904762	2.8322857100000003
1500	Q = -1	3	13.709677419354838	0.4284274193548387	0.01781928094302338	2.8322857100000003
1500	Q = -2	4	2.357142857142857	0.2619047619047619	0.023711339787916664	2.8322857100000003
1500	Q = -3	3	2.7142857142857144	0.08482142857142858	0.010019350137263966	2.8322857100000003
1500	Q = -4	4	1.1111111111111112	0.12345679012345682	0.012345679012345678	2.8322857100000003
1500	Q = 0	4	3.967741935483871	0.44086021505376355	0.02749986228692064	2.8322857100000003
1600	Q = +1	3	13.419354838709678	0.41935483870967744	0.014904362563125984	2.983980948
1600	Q = +2	4	2.3448275862068964	0.26053639846743293	0.021552484326433693	2.983980948
1600	Q = +3	3	2.6153846153846154	0.08173076923076923	0.008505675967766411	2.983980948
1600	Q = +4	4	1.375	0.1527777777777778	0.04166666666666666	2.983980948
1600	Q = -1	3	14.129032258064516	0.4415322580645161	0.01625038354359395	2.983980948
1600	Q = -2	4	2.3	0.2555555555555555	0.021409135231902555	2.983980948
1600	Q = -3	3	2.5	0.078125	0.009163171231106727	2.983980948
1600	Q = -4	4	1.0	0.11111111111111113	0.0	2.983980948
1600	Q = 0	4	4.0	0.4444444444444445	0.02576327198667602	2.983980948
1700	Q = +1	3	13.225806451612904	0.41330645161290325	0.013416476538144352	3.135676186
1700	Q = +2	4	2.5	0.27777777777777773	0.018518518518518517	3.135676186
1700	Q = +3	3	2.392857142857143	0.07477678571428571	0.007596941166912998	3.135676186
1700	Q = +4	4	1.5	0.16666666666666666	0.05555555555555556	3.135676186
1700	Q = -1	3	14.096774193548388	0.4405241935483871	0.01400206088344489	3.135676186
1700	Q = -2	4	2.392857142857143	0.2658730158730159	0.02164090157285366	3.135676186
1700	Q = -3	3	2.689655172413793	0.08405172413793104	0.008649505411256248	3.135676186
1700	Q = -4	4	1.25	0.1388888888888889	0.027777777777777776	3.135676186
1700	Q = 0	4	4.129032258064516	0.45878136200716857	0.02664571831701151	3.135676186
1800	Q = +1	3	13.064516129032258	0.40826612903225806	0.015400639455215897	3.287371424
1800	Q = +2	4	2.586206896551724	0.28735632183908044	0.021722096149955586	3.287371424
1800	Q = +3	3	2.3846153846153846	0.07451923076923077	0.007958146806368678	3.287371424
1800	Q = +4	4	1.1428571428571428	0.126984126984127	0.015873015873015872	3.287371424
1800	Q = -1	3	14.451612903225806	0.45161290322580644	0.014908907268998692	3.287371424
1800	Q = -2	4	2.357142857142857	0.2619047619047619	0.023012325133509502	3.287371424
1800	Q = -3	3	2.75	0.0859375	0.007976130322860117	3.287371424
1800	Q = -4	4	1.0	0.1111111111111111	0.0	3.287371424
1800	Q = 0	4	4.064516129032258	0.4516129032258065	0.025208796931714093	3.287371424
1900	Q = +1	3	13.096774193548388	0.4092741935483871	0.014372139055363624	3.439066662
1900	Q = +2	4	2.413793103448276	0.2681992337164751	0.025579247828238474	3.439066662
1900	Q = +3	3	1.8846153846153846	0.05889423076923077	0.00608605235633277	3.439066662
1900	Q = +4	4	1.3333333333333333	0.14814814814814817	0.02342427896421022	3.439066662
1900	Q = -1	3	15.225806451612904	0.47580645161290325	0.017067775670968142	3.439066662
1900	Q = -2	4	2.0689655172413794	0.22988505747126434	0.016479550320005032	3.439066662
1900	Q = -3	3	2.5	0.078125	0.008358335889766207	3.439066662
1900	Q = -4	4	1.0	0.1111111111111111	0.0	3.439066662
1900	Q = 0	4	4.419354838709677	0.49103942652329746	0.029498302245182247	3.439066662
2000	Q = +1	3	12.580645161290322	0.39314516129032256	0.014619831934010142	3.5907619000000004
2000	Q = +2	4	2.3793103448275863	0.26436781609195403	0.023011300503095685	3.5907619000000004
2000	Q = +3	3	1.9615384615384615	0.06129807692307692	0.007037154407838677	3.5907619000000004
2000	Q = +4	4	1.1428571428571428	0.126984126984127	0.015873015873015872	3.5907619000000004
2000	Q = -1	3	15.67741935483871	0.4899193548387097	0.017533755413797036	3.5907619000000004
