frame	type	coordination	number	fraction	err	time	mT
41000	Q = +1	3	178.4	0.3836559139784945	0.005289137418120919	410.0	5.125
41000	Q = +3	3	54.0	0.11612903225806452	0.003173611988699448	410.0	5.125
41000	Q = -1	3	177.3	0.3812903225806452	0.0044657829755333335	410.0	5.125
41000	Q = -3	3	55.3	0.11892473118279573	0.006023638468400204	410.0	5.125
42000	Q = +1	3	178.7	0.3843010752688172	0.00535527532490889	420.0	5.25
42000	Q = +3	3	53.8	0.1156989247311828	0.0033439150651442587	420.0	5.25
42000	Q = -1	3	176.9	0.3804301075268817	0.004365703219665982	420.0	5.25
42000	Q = -3	3	55.6	0.11956989247311828	0.0059303563813466464	420.0	5.25
43000	Q = +1	3	178.8	0.384516129032258	0.005804238703941835	430.0	5.375
43000	Q = +3	3	53.6	0.11526881720430107	0.0026280003985409838	430.0	5.375
43000	Q = -1	3	177.3	0.3812903225806451	0.004407873588428161	430.0	5.375
43000	Q = -3	3	55.3	0.1189247311827957	0.00578872465468743	430.0	5.375
44000	Q = +1	3	178.8	0.3845161290322581	0.005532267062817129	440.0	5.5
44000	Q = +3	3	53.0	0.1139784946236559	0.002643596977001545	440.0	5.5
44000	Q = -1	3	178.7	0.3843010752688173	0.005038870758649455	440.0	5.5
44000	Q = -3	3	54.5	0.11720430107526884	0.005710072278430862	440.0	5.5
45000	Q = +1	3	178.6	0.3840860215053763	0.004895590273538029	450.0	5.625
45000	Q = +3	3	53.2	0.11440860215053765	0.0025405082647554627	450.0	5.625
45000	Q = -1	3	178.8	0.384516129032258	0.003844326215854315	450.0	5.625
45000	Q = -3	3	54.4	0.11698924731182796	0.005327857828261516	450.0	5.625
46000	Q = +1	3	178.7	0.3843010752688171	0.0049254145910543005	460.0	5.75
46000	Q = +3	3	52.7	0.11333333333333333	0.0024634896455110506	460.0	5.75
46000	Q = -1	3	179.7	0.38645161290322577	0.0034535310309522288	460.0	5.75
46000	Q = -3	3	53.9	0.11591397849462365	0.0054635696092591324	460.0	5.75
47000	Q = +1	3	179.4	0.3858064516129033	0.0058342623510755035	470.0	5.875
47000	Q = +3	3	52.4	0.11268817204301075	0.002445694926054765	470.0	5.875
47000	Q = -1	3	179.3	0.3855913978494624	0.004384495679820222	470.0	5.875
47000	Q = -3	3	53.9	0.11591397849462365	0.00471649724719598	470.0	5.875
48000	Q = +1	3	179.8	0.38666666666666666	0.0063536974354581645	480.0	6.0
48000	Q = +3	3	51.7	0.11118279569892472	0.00231286964944827	480.0	6.0
48000	Q = -1	3	179.6	0.3862365591397849	0.004603467916273068	480.0	6.0
48000	Q = -3	3	53.9	0.11591397849462365	0.004606257728004971	480.0	6.0
49000	Q = +1	3	179.4	0.3858064516129033	0.006184847200035262	490.0	6.125
49000	Q = +3	3	52.0	0.1118279569892473	0.002441489084720632	490.0	6.125
49000	Q = -1	3	179.8	0.38666666666666666	0.004520109754963284	490.0	6.125
49000	Q = -3	3	53.8	0.1156989247311828	0.004565357226692662	490.0	6.125
50000	Q = +1	3	180.1	0.3873118279569892	0.006864150210481187	500.0	6.25
50000	Q = +3	3	51.8	0.1113978494623656	0.0022849286667396746	500.0	6.25
50000	Q = -1	3	179.4	0.3858064516129033	0.004757178501229262	500.0	6.25
50000	Q = -3	3	53.7	0.11548387096774194	0.004556907548476795	500.0	6.25
51000	Q = +1	3	178.5	0.3838709677419355	0.006802485911100993	510.0	6.375
51000	Q = +3	3	52.7	0.11333333333333333	0.0026831494297079434	510.0	6.375
51000	Q = -1	3	181.0	0.389247311827957	0.004711591892517562	510.0	6.375
51000	Q = -3	3	52.8	0.1135483870967742	0.0043698209760941	510.0	6.375
52000	Q = +1	3	178.6	0.3840860215053764	0.007112325020680985	520.0	6.5
52000	Q = +3	3	52.0	0.1118279569892473	0.0027012822482317947	520.0	6.5
52000	Q = -1	3	182.0	0.3913978494623656	0.005109255822567874	520.0	6.5
52000	Q = -3	3	52.4	0.11268817204301075	0.004107970976887283	520.0	6.5
53000	Q = +1	3	177.5	0.3817204301075269	0.007269891686754247	530.0	6.625
53000	Q = +3	3	51.9	0.11161290322580646	0.0024298854848284314	530.0	6.625
53000	Q = -1	3	184.0	0.3956989247311828	0.0056444500888973535	530.0	6.625
53000	Q = -3	3	51.6	0.11096774193548388	0.0038629945764322524	530.0	6.625
54000	Q = +1	3	178.4	0.3836559139784945	0.007601270905698389	540.0	6.75
54000	Q = +3	3	51.2	0.11010752688172044	0.002678357231866583	540.0	6.75
54000	Q = -1	3	183.8	0.39526881720430107	0.005097172425700696	540.0	6.75
54000	Q = -3	3	51.6	0.1109677419354839	0.004362759585577904	540.0	6.75
55000	Q = +1	3	179.0	0.3849462365591398	0.008451488259893617	550.0	6.875
55000	Q = +3	3	50.4	0.10838709677419356	0.0026083735338581025	550.0	6.875
55000	Q = -1	3	185.0	0.3978494623655914	0.005267719876953069	550.0	6.875
55000	Q = -3	3	50.6	0.10881720430107526	0.004592291721303789	550.0	6.875
56000	Q = +1	3	181.0	0.389247311827957	0.009252589419505406	560.0	7.0
56000	Q = +3	3	49.1	0.10559139784946237	0.0025130534971982955	560.0	7.0
56000	Q = -1	3	184.4	0.3965591397849463	0.005637162222605739	560.0	7.0
56000	Q = -3	3	50.5	0.10860215053763443	0.004604026013858469	560.0	7.0
57000	Q = +1	3	181.7	0.39075268817204295	0.008685675735868589	570.0	7.125
57000	Q = +3	3	48.3	0.10387096774193548	0.002886139374795327	570.0	7.125
57000	Q = -1	3	185.2	0.3982795698924732	0.004870333405437424	570.0	7.125
57000	Q = -3	3	49.8	0.1070967741935484	0.004404958134978414	570.0	7.125
58000	Q = +1	3	180.7	0.3886021505376344	0.008173614890012976	580.0	7.25
58000	Q = +3	3	48.2	0.10365591397849463	0.002791099976190939	580.0	7.25
58000	Q = -1	3	186.9	0.4019354838709678	0.004470383319761674	580.0	7.25
58000	Q = -3	3	49.2	0.10580645161290322	0.004310622617454597	580.0	7.25
59000	Q = +1	3	180.8	0.3888172043010753	0.008108917988461231	590.0	7.375
59000	Q = +3	3	47.9	0.10301075268817204	0.003213037251758418	590.0	7.375
59000	Q = -1	3	187.3	0.4027956989247311	0.004349193207775629	590.0	7.375
59000	Q = -3	3	49.0	0.1053763440860215	0.004004083166672097	590.0	7.375
60000	Q = +1	3	183.1	0.3937634408602151	0.008288486873856112	600.0	7.5
60000	Q = +3	3	46.5	0.1	0.003062366933805567	600.0	7.5
60000	Q = -1	3	187.0	0.4021505376344086	0.0037110190983640962	600.0	7.5
60000	Q = -3	3	48.4	0.10408602150537637	0.0043272797914800185	600.0	7.5
61000	Q = +1	3	183.7	0.3950537634408603	0.008457870068158402	610.0	7.625
61000	Q = +3	3	45.1	0.09698924731182798	0.003148414516988924	610.0	7.625
61000	Q = -1	3	188.4	0.40516129032258064	0.003319236387896836	610.0	7.625
61000	Q = -3	3	47.8	0.10279569892473116	0.004542789825879529	610.0	7.625
62000	Q = +1	3	185.1	0.39806451612903226	0.008276078023610259	620.0	7.75
62000	Q = +3	3	44.7	0.0961290322580645	0.002991060364878146	620.0	7.75
62000	Q = -1	3	187.9	0.4040860215053764	0.0034742998755706448	620.0	7.75
62000	Q = -3	3	47.3	0.10172043010752688	0.0044311281607241826	620.0	7.75
63000	Q = +1	3	185.1	0.39806451612903226	0.008043061864531338	630.0	7.875
63000	Q = +3	3	43.6	0.09376344086021504	0.0029591064430896483	630.0	7.875
63000	Q = -1	3	189.6	0.4077419354838709	0.0031279461260604216	630.0	7.875
63000	Q = -3	3	46.7	0.10043010752688172	0.0046351722323518885	630.0	7.875
64000	Q = +1	3	186.7	0.401505376344086	0.006868640496751085	640.0	8.0
64000	Q = +3	3	43.0	0.0924731182795699	0.003124658740889371	640.0	8.0
64000	Q = -1	3	190.0	0.4086021505376344	0.004029668622954896	640.0	8.0
64000	Q = -3	3	45.3	0.09741935483870967	0.00480928261439986	640.0	8.0
65000	Q = +1	3	188.0	0.4043010752688171	0.007956666337210962	650.0	8.125
65000	Q = +3	3	41.4	0.08903225806451613	0.003225009857835696	650.0	8.125
65000	Q = -1	3	190.8	0.4103225806451613	0.004891389852109531	650.0	8.125
65000	Q = -3	3	44.8	0.09634408602150538	0.004346238391748851	650.0	8.125
66000	Q = +1	3	188.5	0.4053763440860215	0.0070108113256264655	660.0	8.25
66000	Q = +3	3	40.8	0.08774193548387096	0.003137787616951868	660.0	8.25
66000	Q = -1	3	191.7	0.41225806451612906	0.004777120310120754	660.0	8.25
66000	Q = -3	3	44.0	0.09462365591397848	0.004324904123010281	660.0	8.25
